"","Q10","count","state"
"1","",4,"arkansas"
"2","apples",5,"arkansas"
"3","bananas",1,"arkansas"
"4","barbecue",2,"arkansas"
"5","beef",3,"arkansas"
"6","biscuits",1,"arkansas"
"7","biscuitschocgravy",1,"arkansas"
"8","bison",1,"arkansas"
"9","blueberries",1,"arkansas"
"10","broccoli",1,"arkansas"
"11","burgers",7,"arkansas"
"12","carljrchicken",1,"arkansas"
"13","carrots",1,"arkansas"
"14","catfish",5,"arkansas"
"15","cattle",1,"arkansas"
"16","cauliflower",1,"arkansas"
"17","cheese",1,"arkansas"
"18","cheesedip",2,"arkansas"
"19","cherry",1,"arkansas"
"20","chicken",20,"arkansas"
"21","chocgravy",1,"arkansas"
"22","coaco",1,"arkansas"
"23","coleslaw",1,"arkansas"
"24","collardgreens",1,"arkansas"
"25","corn",45,"arkansas"
"26","cornbread",1,"arkansas"
"27","crawfish",3,"arkansas"
"28","creole",1,"arkansas"
"29","dairy",1,"arkansas"
"30","eggs",3,"arkansas"
"31","fish",3,"arkansas"
"32","friedchicken",2,"arkansas"
"33","friedfood",1,"arkansas"
"34","friedpickles",1,"arkansas"
"35","fries",2,"arkansas"
"36","fruit",2,"arkansas"
"37","grain",1,"arkansas"
"38","grapes",2,"arkansas"
"39","hotdogs",1,"arkansas"
"40","hushpuppies",3,"arkansas"
"41","kiwi",1,"arkansas"
"42","mashedpotatoes",2,"arkansas"
"43","massachusetts",1,"arkansas"
"44","meat",1,"arkansas"
"45","mexicanrice",1,"arkansas"
"46","milk",1,"arkansas"
"47","muscadinegrapes",1,"arkansas"
"48","mushrooms",1,"arkansas"
"49","nuts",1,"arkansas"
"50","okra",1,"arkansas"
"51","onions",1,"arkansas"
"52","pasta",1,"arkansas"
"53","peaches",3,"arkansas"
"54","peas",1,"arkansas"
"55","pecans",4,"arkansas"
"56","pizza",6,"arkansas"
"57","pork",5,"arkansas"
"58","possumpie",3,"arkansas"
"59","potatoes",7,"arkansas"
"60","poultry",1,"arkansas"
"61","pulledpork",2,"arkansas"
"62","rice",83,"arkansas"
"63","salad",1,"arkansas"
"64","sausage",2,"arkansas"
"65","seafood",1,"arkansas"
"66","snacks",1,"arkansas"
"67","sorghum",1,"arkansas"
"68","soulfood",1,"arkansas"
"69","soup",1,"arkansas"
"70","soybeans",33,"arkansas"
"71","spinach",4,"arkansas"
"72","squash",1,"arkansas"
"73","steak",2,"arkansas"
"74","strawberries",2,"arkansas"
"75","syrup",1,"arkansas"
"76","tacos",4,"arkansas"
"77","tomatoes",16,"arkansas"
"78","turkey",2,"arkansas"
"79","vegetables",4,"arkansas"
"80","walnuts",1,"arkansas"
"81","watermelon",9,"arkansas"
"82","wheat",7,"arkansas"
"83","wich",1,"arkansas"
"84","wildnuts",1,"arkansas"
"85","zucchini",1,"arkansas"
"86","apples",3,"mississippi"
"87","barbecue",3,"mississippi"
"88","beef",2,"mississippi"
"89","blueberries",3,"mississippi"
"90","burgers",6,"mississippi"
"91","catfish",13,"mississippi"
"92","cattle",1,"mississippi"
"93","chicken",7,"mississippi"
"94","collardgreens",2,"mississippi"
"95","corn",25,"mississippi"
"96","cornbread",1,"mississippi"
"97","dairy",1,"mississippi"
"98","fastfood",1,"mississippi"
"99","fish",2,"mississippi"
"100","friedchicken",5,"mississippi"
"101","friedfish",1,"mississippi"
"102","fries",2,"mississippi"
"103","fruit",2,"mississippi"
"104","gravy",1,"mississippi"
"105","gumbo",1,"mississippi"
"106","mashedpotatoes",1,"mississippi"
"107","mexicancorn",1,"mississippi"
"108","mississippi",1,"mississippi"
"109","most",1,"mississippi"
"110","mudpie",1,"mississippi"
"111","nachos",1,"mississippi"
"112","no",1,"mississippi"
"113","oatmeal",1,"mississippi"
"114","okra",3,"mississippi"
"115","oranges",1,"mississippi"
"116","pasta",1,"mississippi"
"117","peaches",1,"mississippi"
"118","peanuts",1,"mississippi"
"119","peas",1,"mississippi"
"120","pecans",2,"mississippi"
"121","pineapple",1,"mississippi"
"122","pizza",5,"mississippi"
"123","pork",2,"mississippi"
"124","porkpie",1,"mississippi"
"125","potatoes",3,"mississippi"
"126","potpie",1,"mississippi"
"127","purplehullbeans",1,"mississippi"
"128","ramps",1,"mississippi"
"129","redbeansrice",2,"mississippi"
"130","rice",5,"mississippi"
"131","seafood",1,"mississippi"
"132","shrimp",3,"mississippi"
"133","sorghum",1,"mississippi"
"134","soulfood",1,"mississippi"
"135","soybeans",15,"mississippi"
"136","steak",2,"mississippi"
"137","sweetpotatoes",9,"mississippi"
"138","tacos",2,"mississippi"
"139","tomatoes",4,"mississippi"
"140","turnips",1,"mississippi"
"141","vegetables",6,"mississippi"
"142","watermelon",7,"mississippi"
"143","",3,"louisiana"
"144","alligator",2,"louisiana"
"145","apples",2,"louisiana"
"146","bananafoster",1,"louisiana"
"147","barbecue",1,"louisiana"
"148","beef",2,"louisiana"
"149","beetroot",1,"louisiana"
"150","beignet",3,"louisiana"
"151","blackberries",2,"louisiana"
"152","bloodoranges",1,"louisiana"
"153","boudin",4,"louisiana"
"154","burgers",3,"louisiana"
"155","cajun",4,"louisiana"
"156","cake",1,"louisiana"
"157","cane",1,"louisiana"
"158","carrots",2,"louisiana"
"159","catfish",3,"louisiana"
"160","cattle",1,"louisiana"
"161","chicken",2,"louisiana"
"162","chips",1,"louisiana"
"163","collardgreens",1,"louisiana"
"164","corn",18,"louisiana"
"165","cracklins",1,"louisiana"
"166","crawfish",55,"louisiana"
"167","creole",1,"louisiana"
"168","deer",1,"louisiana"
"169","etouffee",2,"louisiana"
"170","field",1,"louisiana"
"171","fish",3,"louisiana"
"172","friedchicken",1,"louisiana"
"173","fries",1,"louisiana"
"174","fruit",1,"louisiana"
"175","grain",1,"louisiana"
"176","gumbo",20,"louisiana"
"177","gunna",1,"louisiana"
"178","hockeycheese",1,"louisiana"
"179","icecream",1,"louisiana"
"180","jambalaya",3,"louisiana"
"181","kingcake",1,"louisiana"
"182","madjacks",1,"louisiana"
"183","meat",1,"louisiana"
"184","milk",1,"louisiana"
"185","okra",3,"louisiana"
"186","oranges",2,"louisiana"
"187","oysters",3,"louisiana"
"188","pasta",1,"louisiana"
"189","peaches",2,"louisiana"
"190","peas",1,"louisiana"
"191","pecans",4,"louisiana"
"192","pizza",4,"louisiana"
"193","pizzarolls",1,"louisiana"
"194","pork",2,"louisiana"
"195","potatoes",4,"louisiana"
"196","redbeansrice",5,"louisiana"
"197","rice",27,"louisiana"
"198","satsumas",1,"louisiana"
"199","seafood",15,"louisiana"
"200","shrimp",9,"louisiana"
"201","smokedmeat",1,"louisiana"
"202","soybeans",7,"louisiana"
"203","squash",1,"louisiana"
"204","strawberries",6,"louisiana"
"205","sugarcane",49,"louisiana"
"206","sweetpotatoes",1,"louisiana"
"207","tomatoes",2,"louisiana"
"208","vegetables",2,"louisiana"
"209","watermelon",3,"louisiana"
"210","wheat",2,"louisiana"
"211","wiches",1,"louisiana"
"212","y",1,"louisiana"
"213","",1,"tennessee"
"214","applepie",1,"tennessee"
"215","apples",7,"tennessee"
"216","apricots",1,"tennessee"
"217","bacon",1,"tennessee"
"218","bananas",1,"tennessee"
"219","barbecue",13,"tennessee"
"220","beef",12,"tennessee"
"221","berries",1,"tennessee"
"222","biscuitgravy",3,"tennessee"
"223","blackberries",1,"tennessee"
"224","blackberrycobbler",1,"tennessee"
"225","blueberries",3,"tennessee"
"226","boiledpeanuts",1,"tennessee"
"227","bostoncremecake",1,"tennessee"
"228","bread",1,"tennessee"
"229","broccoli",2,"tennessee"
"230","burgers",10,"tennessee"
"231","cabbage",2,"tennessee"
"232","carrots",1,"tennessee"
"233","catfish",1,"tennessee"
"234","cattails",1,"tennessee"
"235","cattle",3,"tennessee"
"236","cheesecake",1,"tennessee"
"237","chicken",16,"tennessee"
"238","chickenstrips",1,"tennessee"
"239","chickenwings",1,"tennessee"
"240","corn",95,"tennessee"
"241","countryfood",1,"tennessee"
"242","countryham",1,"tennessee"
"243","cucumber",1,"tennessee"
"244","eggs",1,"tennessee"
"245","feedcorn",1,"tennessee"
"246","fries",3,"tennessee"
"247","fruit",1,"tennessee"
"248","googoocluster",1,"tennessee"
"249","grain",2,"tennessee"
"250","grapefruit",1,"tennessee"
"251","grapes",3,"tennessee"
"252","greenbeans",1,"tennessee"
"253","hay",2,"tennessee"
"254","hotchicken",2,"tennessee"
"255","hotdogs",2,"tennessee"
"256","italian",1,"tennessee"
"257","lettuce",2,"tennessee"
"258","livestock",2,"tennessee"
"259","maccheese",1,"tennessee"
"260","mango",1,"tennessee"
"261","marijuana",1,"tennessee"
"262","mayhaw",1,"tennessee"
"263","meat",1,"tennessee"
"264","meatloaf",1,"tennessee"
"265","milk",1,"tennessee"
"266","moonpie",4,"tennessee"
"267","mtndew",1,"tennessee"
"268","nashvillehotchicken",3,"tennessee"
"269","oranges",1,"tennessee"
"270","pasta",2,"tennessee"
"271","pawpaw",1,"tennessee"
"272","peaches",2,"tennessee"
"273","peanuts",1,"tennessee"
"274","peas",2,"tennessee"
"275","pecans",2,"tennessee"
"276","pintobeans",1,"tennessee"
"277","pizza",12,"tennessee"
"278","poke",1,"tennessee"
"279","polksalad",1,"tennessee"
"280","pork",4,"tennessee"
"281","potatoes",9,"tennessee"
"282","pulledpork",1,"tennessee"
"283","pumpkin",4,"tennessee"
"284","ramps",2,"tennessee"
"285","ribs",1,"tennessee"
"286","rice",5,"tennessee"
"287","salet",1,"tennessee"
"288","sausage",1,"tennessee"
"289","seafood",1,"tennessee"
"290","servicefooditems",1,"tennessee"
"291","skittles",1,"tennessee"
"292","smartfoodpopcorn",1,"tennessee"
"293","smokedmeat",1,"tennessee"
"294","snacks",1,"tennessee"
"295","sorghum",2,"tennessee"
"296","soulfood",1,"tennessee"
"297","soybeans",38,"tennessee"
"298","spaghetti",1,"tennessee"
"299","spinach",1,"tennessee"
"300","squash",2,"tennessee"
"301","starchyfood",1,"tennessee"
"302","steak",6,"tennessee"
"303","strawberries",7,"tennessee"
"304","sunflowers",1,"tennessee"
"305","sweetpotatoes",2,"tennessee"
"306","tabacco",1,"tennessee"
"307","tennessee",1,"tennessee"
"308","tinnituspumpkins",1,"tennessee"
"309","tobacco",12,"tennessee"
"310","tomatoes",23,"tennessee"
"311","vegetables",6,"tennessee"
"312","watermelon",2,"tennessee"
"313","wheat",11,"tennessee"
"314","whiskey",6,"tennessee"
"315","wich",1,"tennessee"
"316","yellowsquash",1,"tennessee"
